9282013 113700	1.3197E+04		1.2192E+03	8.4500E+00	6.3892E+02	2.8500E+00	1.9082E+00	8.7170E-01	7.9609E-08	1.0000E-02
9282013 123700	1.3198E+04		1.2155E+03	8.5900E+00	6.3886E+02	2.9200E+00	1.9026E+00	8.6910E-01	8.0474E-08	1.0000E-02
9282013 133700	1.3199E+04		1.2138E+03	1.0890E+01	6.3903E+02	3.0300E+00	1.8994E+00	8.6770E-01	8.1339E-08	1.0000E-02
9282013 143700	1.3200E+04		1.2176E+03	9.5700E+00	6.3901E+02	2.9200E+00	1.9054E+00	8.7040E-01	8.2205E-08	1.0000E-02
9282013 153700	1.3201E+04		1.2156E+03	9.5300E+00	6.3893E+02	3.0300E+00	1.9025E+00	8.6910E-01	8.3070E-08	1.0000E-02
9282013 163700	1.3202E+04		1.2176E+03	9.5200E+00	6.3908E+02	2.8900E+00	1.9052E+00	8.7030E-01	8.3935E-08	1.0000E-02
9282013 173700	1.3203E+04		1.2178E+03	1.1540E+01	6.3888E+02	2.7100E+00	1.9062E+00	8.7070E-01	8.4801E-08	1.0000E-02
9282013 183700	1.3204E+04		1.2179E+03	1.0750E+01	6.3898E+02	2.9600E+00	1.9059E+00	8.7060E-01	8.5666E-08	1.0000E-02
9282013 193700	1.3205E+04		1.2180E+03	9.7900E+00	6.3906E+02	2.9400E+00	1.9058E+00	8.7060E-01	8.6531E-08	1.0000E-02
9282013 203700	1.3206E+04		1.2207E+03	1.0700E+01	6.3900E+02	3.1000E+00	1.9103E+00	8.7260E-01	8.7397E-08	1.0000E-02
9282013 213700	1.3207E+04		1.2204E+03	9.5200E+00	6.3892E+02	2.9000E+00	1.9101E+00	8.7250E-01	8.8262E-08	1.0000E-02
9282013 223700	1.3208E+04		1.2203E+03	8.9000E+00	6.3892E+02	2.8400E+00	1.9099E+00	8.7240E-01	8.9127E-08	1.0000E-02
9282013 233700	1.3209E+04		1.2194E+03	9.6400E+00	6.3885E+02	2.6900E+00	1.9087E+00	8.7190E-01	8.9993E-08	1.0000E-02
9292013 003700	1.3210E+04		1.2199E+03	1.0980E+01	6.3893E+02	2.9200E+00	1.9092E+00	8.7210E-01	9.0858E-08	1.0000E-02
9292013 013700	1.3211E+04		1.2198E+03	9.9800E+00	6.3896E+02	2.9200E+00	1.9090E+00	8.7200E-01	9.1723E-08	1.0000E-02
9292013 023700	1.3212E+04		1.2196E+03	1.0420E+01	6.3894E+02	2.8900E+00	1.9088E+00	8.7190E-01	9.2589E-08	1.0000E-02
9292013 033700	1.3213E+04		1.2191E+03	9.7500E+00	6.3896E+02	3.2400E+00	1.9080E+00	8.7160E-01	9.3454E-08	1.0000E-02
9292013 043700	1.3214E+04		1.2189E+03	8.9000E+00	6.3910E+02	3.0400E+00	1.9072E+00	8.7120E-01	9.4319E-08	1.0000E-02
9292013 053700	1.3215E+04		1.2173E+03	1.0700E+01	6.3898E+02	2.9500E+00	1.9050E+00	8.7020E-01	9.5184E-08	1.0000E-02
9292013 063700	1.3216E+04		1.2128E+03	8.3200E+00	6.3921E+02	2.9300E+00	1.8973E+00	8.6670E-01	9.6050E-08	1.0000E-02
9292013 073700	1.3217E+04		1.2155E+03	9.3100E+00	6.3921E+02	2.8400E+00	1.9016E+00	8.6870E-01	9.6915E-08	1.0000E-02
9292013 083700	1.3218E+04		1.2189E+03	9.9400E+00	6.3933E+02	2.9300E+00	1.9066E+00	8.7090E-01	9.7780E-08	1.0000E-02
9292013 093700	1.3219E+04		1.2171E+03	1.1120E+01	6.3922E+02	2.9600E+00	1.9041E+00	8.6980E-01	9.8646E-08	1.0000E-02
9292013 103700	1.3220E+04		1.2201E+03	9.2700E+00	6.3921E+02	2.8400E+00	1.9087E+00	8.7190E-01	9.9511E-08	1.0000E-02
9292013 113700	1.3221E+04		1.2206E+03	8.4500E+00	6.3944E+02	2.8900E+00	1.9088E+00	8.7200E-01	1.0038E-07	1.0000E-02
9292013 123700	1.3222E+04		1.2204E+03	1.0420E+01	6.3931E+02	2.7200E+00	1.9089E+00	8.7200E-01	1.0124E-07	1.0000E-02
9292013 133700	1.3223E+04		1.2208E+03	1.0110E+01	6.3939E+02	2.9500E+00	1.9092E+00	8.7210E-01	1.0211E-07	1.0000E-02
9292013 143700	1.3224E+04		1.2199E+03	8.8000E+00	6.3935E+02	3.1300E+00	1.9080E+00	8.7160E-01	1.0297E-07	1.0000E-02
9292013 153700	1.3225E+04		1.2197E+03	8.4400E+00	6.3940E+02	3.0500E+00	1.9076E+00	8.7140E-01	1.0384E-07	1.0000E-02
