05262012 045923	1431	17	20.6	34
05262012 055923	1432	17	20.6	34
05262012 065923	1433	17	20.6	33.8
05262012 075923	1434	17	20.6	34
05262012 085923	1435	17	20.6	34
05262012 095923	1436	17	20.6	34
05262012 105923	1437	17	20.6	34.2
05262012 115923	1438	17	20.6	34.2
05262012 125923	1439	17	20.6	34.4
05262012 135923	1440	17	20.8	34.4
05262012 145923	1441	17	20.6	34.8
05262012 155923	1442	17	20.8	35.2
05262012 165923	1443	17.2	20.8	35.4
05262012 175923	1444	17.2	20.8	35.6
05262012 185923	1445	17.2	20.8	35.6
05262012 195923	1446	17.2	21	35.8
05262012 205923	1447	17.2	20.8	35.6
05262012 215923	1448	17.2	20.8	35.4
05262012 225923	1449	17.2	20.8	35.4
05262012 235923	1450	17.2	20.8	35.4
05272012 005923	1451	17.2	20.8	35.2
05272012 015923	1452	17.2	20.8	35.2
05272012 025923	1453	17.2	20.8	35
05272012 035923	1454	17.2	20.8	34.8
05272012 045923	1455	17.2	20.8	34.8
05272012 055923	1456	17.2	20.8	34.6
05272012 065923	1457	17.2	20.8	34.6
05272012 075923	1458	17.2	20.6	34.6
05272012 085923	1459	17.2	20.6	34.6
05272012 095923	1460	17.2	20.6	34.8
05272012 105923	1461	17.2	20.6	34.8
05272012 115923	1462	17	20.6	34.8
05272012 125923	1463	17	20.8	35
05272012 135923	1464	17.2	20.8	35.2
05272012 145923	1465	17.2	20.8	35.6
05272012 155923	1466	17.2	20.8	35.8
05272012 165923	1467	17.2	21	36
05272012 175923	1468	17.2	21	36.2
05272012 185923	1469	17.2	21	36.4
05272012 195923	1470	17.2	21	36.4
05272012 205923	1471	17.2	21.2	36.2
05272012 215923	1472	17.2	21.2	36.2
05272012 225923	1473	17.2	21.2	36.2
05272012 235923	1474	17.2	21	35.8
05282012 005923	1475	17.2	21	35.8
05282012 015923	1476	17.2	21	35.8
05282012 025923	1477	17.2	21	35.6
05282012 035923	1478	17.2	20.8	35.6
05282012 045923	1479	17.2	20.8	35.2
05282012 055923	1480	17.2	20.8	35.2
05282012 065923	1481	17.2	20.8	35.2
05282012 075923	1482	17.2	20.8	35.2
05282012 085923	1483	17.2	20.8	35.2
05282012 095923	1484	17.2	20.8	35
05282012 105923	1485	17.2	20.8	35
05282012 115923	1486	17.2	20.8	35.4
05282012 125923	1487	17.2	20.8	35.4
05282012 135923	1488	17.2	21	35.6
05282012 145923	1489	17.2	21	36
05282012 155923	1490	17.2	21	36.4
05282012 165923	1491	17.2	21	36.6
05282012 175923	1492	17.2	21.2	36.6
05282012 185923	1493	17.2	21.2	36.8
05282012 195923	1494	17.4	21.2	36.8
05282012 205923	1495	17.4	21.2	36.4
05282012 215923	1496	17.2	21.2	36.2
05282012 225923	1497	17.2	21.2	36
05282012 235923	1498	17.2	21	36
05292012 005923	1499	17.2	21	35.8
05292012 015923	1500	17.2	21	35.8
05292012 025923	1501	17.2	21	35.6
05292012 035923	1502	17.2	21	35.4
05292012 045923	1503	17.2	21	35.4
05292012 055923	1504	17.2	21	35.2
05292012 065923	1505	17.2	21	35.2
05292012 075923	1506	17.2	21	35.2
05292012 085923	1507	17.2	21	35
05292012 095923	1508	17.2	20.8	34.2
05292012 105923	1509	17	20.8	34
05292012 115923	1510	17	20.8	34.2
05292012 125923	1511	17	20.6	34.4
05292012 135923	1512	17.2	20.8	34.6
05292012 145923	1513	17.2	20.8	34.8
05292012 155923	1514	17.2	20.8	34.8
05292012 165923	1515	17.2	20.8	34.8
05292012 175923	1516	17.2	20.8	35
05292012 185923	1517	17.2	20.8	35.2
05292012 195923	1518	17.2	20.8	35.2
05292012 205923	1519	17.2	20.8	35.2
05292012 215923	1520	17.2	20.8	35.2
05292012 225923	1521	17.2	20.8	35.2
05292012 235923	1522	17.2	20.8	35.2
